Product Name,Manufacturer,Category,Price,Stock
Three-Pin Top,ABC Electronics,Electrical Accessories,5.99,100
Round Button Switch,XYZ Manufacturing,Switches,2.49,150
LED Bulb - 9W,LightTech Co.,Lighting,3.99,200
Extension Cord - 10ft,PowerTech Ltd.,Cords & Extension,7.49,75
Toggle Switch,ElectroMaster,Switches,1.99,120
Wall Socket,PowerUp Inc.,Electrical Accessories,3.49,180
Ceiling Fan,ChillBreeze Fans,Fans,39.99,30
Tube Light - 18W,LightMax Corp.,Lighting,5.49,100
Junction Box,ConnectPro,Boxes & Enclosures,2.99,50
Dimmer Switch,SmartTech Innovations,Switches,8.99,80
LED Strip Light,BrilliantLight Ltd.,Lighting,12.99,60
Surge Protector,PowerGuard Inc.,Cords & Extension,14.99,40
Electric Water Heater,HotFlow Appliances,Appliances,119.99,15
Two-Way Switch,SureSwitch Co.,Switches,3.49,90
Circuit Breaker - 10A,PowerSafe,Electrical Accessories,6.49,70
Ceiling Fan Remote Control,RemoteMasters,Controls & Sensors,9.99,100
Plug Adapter - Universal,GlobalConnect,Electrical Accessories,4.99,120
Outdoor Floodlight,Luminex Corp.,Lighting,24.99,25
Push Button Switch,EZSwitch,Switches,1.49,150
Electrical Tape - 10m,SecureTape,Tools & Supplies,1.99,200
Timer Switch,TimeMaster,Controls & Sensors,11.99,40
LED Downlight,SpotLite Systems,Lighting,8.99,75
Wall Fan,BlowBreeze Fans,Fans,29.99,35
Wire Connectors - Pack of 10,ConnectIt,Tools & Supplies,0.99,300
Pendant Light Fixture,Luxe Lighting,Lighting,19.99,50
Smart Plug,WiFiControl,Smart Devices,16.99,60
Light Dimmer Knob,DimMaster,Controls & Sensors,3.99,150
Outdoor Power Outlet,OutdoorPower,Electrical Accessories,7.49,40
Exhaust Fan,BreatheEasy Fans,Fans,34.99,25
Electrical Tester,PowerProbe,Tools & Supplies,9.99,100
LED Emergency Light,QuickSafe Electronics,Lighting,11.99,80
Toggle Switch Plate,SwitchStyle,Switches,0.99,200
Ceiling Fan Capacitor,PowerBoost,Controls & Sensors,5.49,60
Wire Strippers,StripEase Tools,Tools & Supplies,6.99,70
Motion Sensor Light,SenseGuard Inc.,Controls & Sensors,14.99,30
Power Strip - 6 Outlets,PowerWave,Electrical Accessories,12.99,45
Decorative Wall Plate,ArtStyle Decor,Switches,2.99,100
Remote Control Holder,ControlCaddy,Controls & Sensors,1.49,150
Smart Light Bulb,SmartGlow Tech,Smart Devices,18.99,50
Extension Cord Reel,CordMate Solutions,Cords & Extension,19.99,25
Ceiling Fan Blade Set,WindFlow Fans,Fans,12.99,40
Wire Nuts - Pack of 50,SecureConnect,Tools & Supplies,2.49,250
LED Panel Light,PureLite Solutions,Lighting,21.99,30
Wall Mount Fan Bracket,FanMate,Mounting & Accessories,7.99,60
Digital Timer,TimeGenius,Controls & Sensors,8.99,80
GFCI Outlet,ShockSafe,Electrical Accessories,9.99,100
Smoke Detector,FireAlert Inc.,Safety & Security,14.99,45
Wire Staples - Pack of 100,StapleIt,Tools & Supplies,0.99,200
